session,gameNum,costCond,visibilityCond,purpleBackpackSize,purpleEnergy,redBackpackSize,redEnergy,purpHelpFirst,redHelpFirst,purpAlsoHelp,redAlsoHelp,nRedVeg,nPurpVeg,patchUniformity,nPatches,patchSize
b1R4Q8GF2ktTCZ,5,0,1,5,66,3,73,0,1,1,-1,4,4,0,2,"4,4"
b1R4Q8GF2ktTCZ,6,0,1,5,45,3,34,1,0,-1,1,7,7,1,5,"3,2,2,2,2,3"
b1R4Q8GF2ktTCZ,7,0,1,5,74,3,68,1,0,-1,1,5,3,1,2,"3,5"
b1R4Q8GF2ktTCZ,8,0,1,5,74,3,68,0,0,0,0,3,5,1,2,"5,3"
b1R4Q8GF2ktTCZ,9,0,1,5,38,3,44,0,1,1,-1,7,7,1,5,"3,2,2,2,2,3"
b1R4Q8GF2ktTCZ,10,0,1,5,74,3,73,0,1,1,-1,5,3,1,2,"5,3"
b1R4Q8GF2ktTCZ,11,0,1,5,74,3,73,0,0,0,0,3,5,1,2,"3,5"
bL56aPv7CiRj88,0,1,0,5,0,3,0,0,0,0,0,7,7,1,5,"3,2,2,2,2,3"
bL56aPv7CiRj88,1,1,0,5,42,3,8,0,0,0,0,4,4,1,2,"4,4"
bL56aPv7CiRj88,2,1,0,5,48,3,46,0,0,0,0,3,5,1,2,"5,3"
bL56aPv7CiRj88,3,1,0,5,36,3,0,0,0,0,0,5,3,1,2,"5,3"
bL56aPv7CiRj88,4,1,0,5,42,3,4,0,0,0,0,4,4,1,2,"4,4"
bL56aPv7CiRj88,5,1,0,5,0,3,0,0,0,0,0,7,7,0,5,"3,2,2,2,2,3"
bL56aPv7CiRj88,6,1,0,5,0,3,0,0,0,0,0,7,7,0,5,"3,2,2,2,2,3"
bL56aPv7CiRj88,7,1,0,5,0,3,0,0,0,0,0,7,7,1,5,"3,2,2,2,2,3"
bL56aPv7CiRj88,8,1,0,5,41,3,4,0,0,0,0,5,3,1,2,"3,5"
bL56aPv7CiRj88,9,1,0,5,26,3,4,0,0,0,0,4,4,0,2,"4,4"
bL56aPv7CiRj88,10,1,0,5,48,3,46,0,0,0,0,3,5,1,2,"3,5"
bL56aPv7CiRj88,11,1,0,5,28,3,42,0,1,0,-1,4,4,0,2,"4,4"
bSxiPUDOjnyQuF,0,0,0,4,66,4,61,0,0,0,0,4,4,0,2,"4,4"
bSxiPUDOjnyQuF,1,0,0,4,74,4,71,0,0,0,0,4,4,1,2,"4,4"
bSxiPUDOjnyQuF,2,0,0,4,32,4,35,0,0,0,0,7,7,0,5,"3,2,2,2,2,3"
bSxiPUDOjnyQuF,3,0,0,4,41,4,48,0,0,0,0,7,7,1,5,"3,2,2,2,2,3"
bSxiPUDOjnyQuF,4,0,0,4,56,4,68,0,0,0,0,3,5,1,2,"5,3"
bSxiPUDOjnyQuF,5,0,0,4,32,4,35,0,0,0,0,7,7,0,5,"3,2,2,2,2,3"
bSxiPUDOjnyQuF,6,0,0,4,52,4,63,0,0,0,0,3,5,1,2,"3,5"
bSxiPUDOjnyQuF,7,0,0,4,74,4,71,0,0,0,0,4,4,1,2,"4,4"
bSxiPUDOjnyQuF,8,0,0,4,68,4,52,0,0,0,0,5,3,1,2,"5,3"
bSxiPUDOjnyQuF,9,0,0,4,48,4,41,0,0,0,0,7,7,1,5,"3,2,2,2,2,3"
bSxiPUDOjnyQuF,10,0,0,4,59,4,62,0,0,0,0,4,4,0,2,"4,4"
bSxiPUDOjnyQuF,11,0,0,4,68,4,52,0,0,0,0,5,3,1,2,"3,5"
bT9iNxrIJUbtdr,0,1,0,4,0,4,0,0,0,0,0,7,7,1,5,"3,2,2,2,2,3"
bT9iNxrIJUbtdr,1,1,0,4,48,4,42,0,0,0,0,4,4,1,2,"4,4"
bT9iNxrIJUbtdr,2,1,0,4,4,4,41,0,0,0,0,3,5,1,2,"5,3"
bT9iNxrIJUbtdr,3,1,0,4,31,4,0,0,0,0,0,5,3,1,2,"5,3"
bT9iNxrIJUbtdr,4,1,0,4,42,4,48,0,0,0,0,4,4,1,2,"4,4"
bT9iNxrIJUbtdr,5,1,0,4,0,4,0,0,0,0,0,7,7,0,5,"3,2,2,2,2,3"
bT9iNxrIJUbtdr,6,1,0,4,0,4,0,0,0,0,0,7,7,0,5,"3,2,2,2,2,3"
bT9iNxrIJUbtdr,7,1,0,4,0,4,0,0,0,0,0,7,7,1,5,"3,2,2,2,2,3"
